ncomps	x	y	amplitude	err amplitude	shift	err shift	width	err width	rms	residual	chisq	dof	redchisq	aic
3.0	488.0	350.0	7.841341620582686	0.10488207866501865	50.68213079161824	0.058641283107734844	3.6102709919369733	0.06115946710973589	0.36105376468786626	0.13183904536508748	20.57300249055591	116.0	0.17735346974617164	-460.65864234885566
3.0	488.0	350.0	5.048607163974197	0.09570341693228689	66.82151301165425	0.108159230902537	4.5462918558900425	0.12566180962417012	0.36105376468786626	0.13183904536508748	20.57300249055591	116.0	0.17735346974617164	-460.65864234885566
3.0	488.0	350.0	1.9679592536911859	0.08835236070669836	84.97218430960832	0.29137017523728526	5.216273438845096	0.3148848040539239	0.36105376468786626	0.13183904536508748	20.57300249055591	116.0	0.17735346974617164	-460.65864234885566
3.0	498.0	350.0	9.073762744799087	0.12688305302647637	50.70482451621675	0.05625520212179851	3.334742281472531	0.05796743558682656	0.36105376468786626	0.12901250427670538	28.003921718739196	116.0	0.24141311826499307	-422.1130293239133
3.0	498.0	350.0	4.702678487657107	0.10694714309932941	67.61196004035997	0.1836258719988427	4.928852709970085	0.1966255190140861	0.36105376468786626	0.12901250427670538	28.003921718739196	116.0	0.24141311826499307	-422.1130293239133
3.0	498.0	350.0	1.3089557867555977	0.09636279131874116	84.54632313684658	0.7421644287104895	5.991186293656833	0.7648796473461335	0.36105376468786626	0.12901250427670538	28.003921718739196	116.0	0.24141311826499307	-422.1130293239133
3.0	508.0	350.0	7.797547437440791	0.17526484347352184	50.55817952807217	0.09584716546998083	3.325547066491904	0.09672596738014058	0.18127278816832612	0.18132951798031505	208.24046891431422	116.0	1.7951764561578811	-343.57537704261875
3.0	508.0	350.0	4.175386812828291	0.1251486379642964	67.99455247848752	0.25504592496637896	6.800391300476792	0.28288984095381886	0.18127278816832612	0.18132951798031505	208.24046891431422	116.0	1.7951764561578811	-343.57537704261875
3.0	508.0	350.0	0.4640386942516584	0.12392792157242094	184.4378829298957	2.0103317853879616	6.529589088490233	2.023501347960377	0.18127278816832612	0.18132951798031505	208.24046891431422	116.0	1.7951764561578811	-343.57537704261875
2.0	518.0	350.0	4.615090575454606	0.16125440093217253	50.489795895684544	0.15998262245786532	3.6715148860139584	0.16442178532791135	0.16169955585204784	0.16224175805870872	255.53749265901178	119.0	2.147373887890855	-353.4100248939293
2.0	518.0	350.0	3.590378945656284	0.13271932182325044	68.0463959686457	0.2507641806821654	5.64440263080086	0.2718663498642888	0.16169955585204784	0.16224175805870872	255.53749265901178	119.0	2.147373887890855	-353.4100248939293
2.0	528.0	350.0	2.4946574089449722	0.11911763041746744	51.122493625488126	0.20838541988370934	3.775400411765652	0.21057547183749692	0.36105376468786626	0.12812414193682792	28.739736292575646	119.0	0.24151038901324073	-425.7243644041826
2.0	528.0	350.0	2.5507375260466505	0.11944521472488884	69.08654565009496	0.20323254538132884	3.7550142657292644	0.20535758151055514	0.36105376468786626	0.12812414193682792	28.739736292575646	119.0	0.24151038901324073	-425.7243644041826
2.0	538.0	350.0	2.6912611134163726	0.09282814674351486	52.49065094437931	0.18142378885719934	4.557911638976777	0.18305224505094786	0.1019432052363383	0.12469823462049238	264.3649252313049	119.0	2.221553993540377	-464.49590565156086
2.0	538.0	350.0	1.5203628452435947	0.12656560660833008	69.62298156747912	0.23549790820435024	2.4426315482646688	0.2365173500865254	0.1019432052363383	0.12469823462049238	264.3649252313049	119.0	2.221553993540377	-464.49590565156086
2.0	558.0	350.0	5.347376421763114	0.09161435980619743	56.52006278482047	0.07687612005918627	3.886107409374678	0.07687618306740959	0.07110494653024849	0.13512961312247457	453.5577363381786	119.0	3.811409549060324	-487.0866242643293
2.0	558.0	350.0	0.4811413406957179	0.08183684335294823	121.37499812808032	0.9563269933562119	4.871703113066001	0.9563350153248031	0.07110494653024849	0.13512961312247457	453.5577363381786	119.0	3.811409549060324	-487.0866242643293
3.0	568.0	350.0	5.388058429550989	0.07596236589442097	57.63898041503207	0.06438686155233121	3.9551385357429476	0.06438686141450878	0.07817469176542259	0.11132984100675179	255.9398938928868	116.0	2.2063783956283345	-528.0585009738609
3.0	568.0	350.0	0.3695912710145478	0.09475022604987143	89.32594395967574	0.7522783391076817	2.5441867813428622	0.7523372605169513	0.07817469176542259	0.11132984100675179	255.9398938928868	116.0	2.2063783956283345	-528.0585009738609
3.0	568.0	350.0	0.4968953057834631	0.07335708260863376	121.84269170877474	0.7229713598535722	4.241061460423035	0.7229713597733479	0.07817469176542259	0.11132984100675179	255.9398938928868	116.0	2.2063783956283345	-528.0585009738609
2.0	578.0	350.0	4.1614404715583815	0.06382809611321942	58.76866693714093	0.08183719815332118	4.620757584123538	0.08183719907033765	0.09403619059504378	0.08884127127229227	149.67440740655024	119.0	1.2577681294668088	-555.788454175169
2.0	578.0	350.0	0.6561613516130896	0.07839569223418705	88.47097697482191	0.4226356977221034	3.0621570443448203	0.4226297810797349	0.09403619059504378	0.08884127127229227	149.67440740655024	119.0	1.2577681294668088	-555.788454175169
4.0	588.0	350.0	0.5969347621016481	0.18703680302215608	52.65578917893749	0.44308751271373675	1.5502360874472512	0.6240196488765372	0.0834751158429599	0.0983343102336845	305.1990530851384	113.0	2.7008765759746765	-482.43465462619884
4.0	588.0	350.0	2.869751095103569	0.08151063430079308	61.17434662637779	0.26025232714475965	5.2845930244970445	0.2843407787393107	0.0834751158429599	0.0983343102336845	305.1990530851384	113.0	2.7008765759746765	-482.43465462619884
